tourney_pk,tourney_id,date_id,tourney_name,surface,draw_size,tourney_level,tourney_spectators,tourney_revenue
2017-W-WITF-GER-05A-201725201720626Stuttgart Vaihingen $25K,2017-W-WITF-GER-05A-2017,201720626,Stuttgart Vaihingen $25K,Clay,32,25,2333,454991.48
2019-W-FC-2019-WG2-PO-SVK-BRA-01D201920420Fed Cup WG2 R1: SVK vs BRA,2019-W-FC-2019-WG2-PO-SVK-BRA-01,201920420,Fed Cup WG2 R1: SVK vs BRA,Clay,4,D,441,93212.74
2019-9162C201910225Pau CH,2019-9162,201910225,Pau CH,Hard,64,C,7213,1633123.77
2019-W-ITF-ISR-01A-201915201910325W15 Tel Aviv,2019-W-ITF-ISR-01A-2019,201910325,W15 Tel Aviv,Hard,32,15,3233,467136.68
2016-M-DC-2016-G2-AO-M-TPE-MAS-01D201610304Davis Cup G2 R1: TPE vs MAS,2016-M-DC-2016-G2-AO-M-TPE-MAS-01,201610304,Davis Cup G2 R1: TPE vs MAS,Hard,4,D,405,77758.89
2020-W-ITF-GBR-01A-202025202010217W25 Glasgow,2020-W-ITF-GBR-01A-2020,202010217,W25 Glasgow,Hard,32,25,3029,624640.65
2016-W-C10-TUN-04A-201610201610201Hammamet $10K,2016-W-C10-TUN-04A-2016,201610201,Hammamet $10K,Clay,32,10,3339,620841.04
2020-6239C202010127Quimper CH,2020-6239,202010127,Quimper CH,Hard,64,C,5790,1053749.4
2020-W-ITF-EGY-04A-202015202010302W15 Cairo,2020-W-ITF-EGY-04A-2020,202010302,W15 Cairo,Hard,32,15,2867,609322.58
2020-W-ITF-RUS-02A-202025202010120W25 Kazan,2020-W-ITF-RUS-02A-2020,202010120,W25 Kazan,Hard,32,25,4030,881665.5
2019-W-ITF-NED-02A-201925201930701W25 Den Haag,2019-W-ITF-NED-02A-2019,201930701,W25 Den Haag,Clay,32,25,3612,748744.01
2017-W-WITF-GBR-01A-201715201710130Glasgow $15K,2017-W-WITF-GBR-01A-2017,201710130,Glasgow $15K,Hard,32,15,3963,924773.07
2018-W-WITF-POR-12A-201825201830709Setubal $25K,2018-W-WITF-POR-12A-2018,201830709,Setubal $25K,Hard,32,25,2648,513933.14
2016-1741C201620502Busan CH,2016-1741,201620502,Busan CH,Hard,32,C,3291,643802.41
2018-W-WITF-THA-15A-201815201841203Hua Hin $15K,2018-W-WITF-THA-15A-2018,201841203,Hua Hin $15K,Hard,32,15,2810,472839.26
2017-W-WITF-TUN-14A-201715201720403Hammamet $15K,2017-W-WITF-TUN-14A-2017,201720403,Hammamet $15K,Clay,32,15,3555,775310.09
2019-0637C201941111Champaign-Urbana CH,2019-0637,201941111,Champaign-Urbana CH,Hard,64,C,6837,1470389.84
2020-M024M202030824Cincinnati Masters,2020-M024,202030824,Cincinnati Masters,Hard,64,M,8320,1564394.7
2017-W-FC-2017-WG2-PO-AUS-SRB-01D201720422Fed Cup WG2 R1: AUS vs SRB,2017-W-FC-2017-WG2-PO-AUS-SRB-01,201720422,Fed Cup WG2 R1: AUS vs SRB,Hard,4,D,406,84684.45
2020-9190C202041005Parma CH,2020-9190,202041005,Parma CH,Clay,32,C,3910,730963.57
2017-W-WITF-HUN-05A-2017100201730710Budapest $100K,2017-W-WITF-HUN-05A-2017,201730710,Budapest $100K,Clay,32,100,2483,466776.08
2016-W-C50-ITA-06A-201650201620627Rome $50K,2016-W-C50-ITA-06A-2016,201620627,Rome $50K,Clay,32,50,3535,646416.0
2017-2151C201720508Rome  CH,2017-2151,201720508,Rome  CH,Clay,32,C,3942,767362.39
2017-W-WITF-USA-20A-201725201720626Auburn AL $25K,2017-W-WITF-USA-20A-2017,201720626,Auburn AL $25K,Hard,32,25,4395,979880.52
2018-W-WITF-CZE-10A-201815201841126Milovice $15K,2018-W-WITF-CZE-10A-2018,201841126,Milovice $15K,Hard,32,15,3357,697101.24
2018-7845C201810122Newport Beach CH,2018-7845,201810122,Newport Beach CH,Hard,32,C,2803,636381.57
2018-0410M201820416Monte Carlo Masters,2018-0410,201820416,Monte Carlo Masters,Clay,64,M,6671,1674385.39
2016-7553C201630801Chengdu CH,2016-7553,201630801,Chengdu CH,Hard,32,C,3551,551056.44
2016-M-DC-2016-G2-AM-M-PER-MEXD201630715Davis Cup G2 R2: PER vs MEX,2016-M-DC-2016-G2-AM-M-PER-MEX,201630715,Davis Cup G2 R2: PER vs MEX,Clay,4,D,354,69128.39
2016-7293C201620530Manchester CH,2016-7293,201620530,Manchester CH,Grass,32,C,3490,644122.05
2017-7297C201720605Surbiton CH,2017-7297,201720605,Surbiton CH,Grass,32,C,2708,508262.61
2017-M-DC-2017-G2-EPA-M-LTU-GEOD201720407Davis Cup G2 R2: LTU vs GEO,2017-M-DC-2017-G2-EPA-M-LTU-GEO,201720407,Davis Cup G2 R2: LTU vs GEO,Hard,4,D,440,90998.97
2018-W-FC-2018-G2-EPA-A-M-EGY-GRE-01D201820419Fed Cup G2 RR: EGY vs GRE,2018-W-FC-2018-G2-EPA-A-M-EGY-GRE-01,201820419,Fed Cup G2 RR: EGY vs GRE,Clay,2,D,210,41419.24
2021-2038C202130726Belgrade 125K,2021-2038,202130726,Belgrade 125K,Clay,32,C,3200,507234.04
2018-W-WITF-TUN-35A-201815201841015Monastir $15K,2018-W-WITF-TUN-35A-2018,201841015,Monastir $15K,Hard,32,15,3039,665464.08
2016-W-C25-IND-04A-201625201641212Pune $25K,2016-W-C25-IND-04A-2016,201641212,Pune $25K,Hard,32,25,2463,386033.44
2021-9472C202110322Zadar CH,2021-9472,202110322,Zadar CH,Clay,32,C,3113,516589.74
2018-7557C201830716Gatineau CH,2018-7557,201830716,Gatineau CH,Hard,32,C,4238,799136.02
2020-7391C202041116Guayaquil CH,2020-7391,202041116,Guayaquil CH,Clay,32,C,3045,592689.52
2017-7121C201741113Brescia CH,2017-7121,201741113,Brescia CH,Hard,32,C,3855,824985.38
2016-M-DC-2016-G1-EPA-M-UKR-AUT-01D201630715Davis Cup G1 R2: UKR vs AUT,2016-M-DC-2016-G1-EPA-M-UKR-AUT-01,201630715,Davis Cup G1 R2: UKR vs AUT,Hard,4,D,472,89387.56
2019-0425A201920422Barcelona,2019-0425,201920422,Barcelona,Clay,64,A,8062,1627641.8
2016-7011C201630718Gimcheon CH,2016-7011,201630718,Gimcheon CH,Hard,32,C,3375,782689.76
2017-W-WITF-CHN-03A-201715201710227Nanjing $15K,2017-W-WITF-CHN-03A-2017,201710227,Nanjing $15K,Hard,32,15,3963,981765.08
2021-0558C202120614Prostejov CH,2021-0558,202120614,Prostejov CH,Clay,32,C,4245,992731.82
2016-W-C50-CHN-03A-201650201620411Shenzhen $50K,2016-W-C50-CHN-03A-2016,201620411,Shenzhen $50K,Hard,32,50,2952,667157.69
2016-W-C25-USA-10A-201625201620411Pelham AL $25K,2016-W-C25-USA-10A-2016,201620411,Pelham AL $25K,Clay,32,25,2955,677355.46
2017-W-WITF-ITA-08A-201725201720424Santa Margherita Di Pula $25K,2017-W-WITF-ITA-08A-2017,201720424,Santa Margherita Di Pula $25K,Clay,32,25,4118,778730.92
2020-M024P202030824Cincinnati,2020-M024,202030824,Cincinnati,Hard,64,P,8320,1564394.7
2019-W-ITF-USA-31B-201960201930812W60 Concord MA,2019-W-ITF-USA-31B-2019,201930812,W60 Concord MA,Hard,32,60,2889,399340.71
2017-W-WITF-TUR-07A-201715201710220Antalya $15K,2017-W-WITF-TUR-07A-2017,201710220,Antalya $15K,Clay,32,15,2856,579516.49
2017-W-FC-2017-G2-AO-D-M-SRI-KGZ-01D201730720Fed Cup G2 RR: SRI vs KGZ,2017-W-FC-2017-G2-AO-D-M-SRI-KGZ-01,201730720,Fed Cup G2 RR: SRI vs KGZ,Hard,2,D,158,30004.49
2017-0602P201730821New Haven,2017-0602,201730821,New Haven,Hard,32,P,1718,327231.92
2018-W-FC-2018-G1-EPA-PPO-GBR-HUN-01D201810210Fed Cup G1 PPO: GBR vs HUN,2018-W-FC-2018-G1-EPA-PPO-GBR-HUN-01,201810210,Fed Cup G1 PPO: GBR vs HUN,Hard,2,D,281,56920.19
2019-W-ITF-AUS-10A-201960201930923W60 Darwin,2019-W-ITF-AUS-10A-2019,201930923,W60 Darwin,Hard,32,60,3438,744506.97
2016-6492C201620418Sao Paulo CH,2016-6492,201620418,Sao Paulo CH,Clay,32,C,2455,392262.12
2021-W-ITF-SRB-01A-202115202120628W15 Prokuplje,2021-W-ITF-SRB-01A-2021,202120628,W15 Prokuplje,Clay,32,15,3696,839031.01
2019-W-ITF-ROU-04A-201915201930909W15 Focsani,2019-W-ITF-ROU-04A-2019,201930909,W15 Focsani,Clay,32,15,3274,567100.51
2019-W-ITF-CHN-25A-201960201941028W60 Liuzhou,2019-W-ITF-CHN-25A-2019,201941028,W60 Liuzhou,Hard,32,60,3433,805321.85
2018-4012C201841008Tashkent CH,2018-4012,201841008,Tashkent CH,Hard,32,C,2841,481720.17
2021-0499A202110104Delray Beach,2021-0499,202110104,Delray Beach,Hard,32,A,2028,431314.88
2021-7791C202120607Almaty CH,2021-7791,202120607,Almaty CH,Clay,32,C,3734,702890.14
2016-W-C10-KAZ-02A-201610201620418Shymkent $10K,2016-W-C10-KAZ-02A-2016,201620418,Shymkent $10K,Clay,32,10,3581,847182.56
2017-W-WITF-ITA-02A-201725201710327Santa Margherita Di Pula $25K,2017-W-WITF-ITA-02A-2017,201710327,Santa Margherita Di Pula $25K,Clay,32,25,3054,611211.78
2016-3406C201610307Santiago CH,2016-3406,201610307,Santiago CH,Clay,32,C,2568,514443.49
2018-W-WITF-TUN-38A-201815201841105Monastir $15K,2018-W-WITF-TUN-38A-2018,201841105,Monastir $15K,Hard,32,15,3155,545482.04
2016-W-C75-CZE-01A-201675201630725Prague $75K,2016-W-C75-CZE-01A-2016,201630725,Prague $75K,Clay,32,75,1422,287357.02
2017-5067C201720501Savannah CH,2017-5067,201720501,Savannah CH,Clay,32,C,1639,394023.21
2018-3945C201830716San Benedetto Del Tronto CH,2018-3945,201830716,San Benedetto Del Tronto CH,Clay,32,C,3097,896992.06
2020-W-FC-2020-G1-EPA-B-A-M-SWE-LUX-01D202010205Fed Cup G1 RR: SWE vs LUX,2020-W-FC-2020-G1-EPA-B-A-M-SWE-LUX-01,202010205,Fed Cup G1 RR: SWE vs LUX,Hard,2,D,235,45562.64
2017-M-DC-2017-G1-EPA-M-ISR-POR-01D201710203Davis Cup G1 R1: ISR vs POR,2017-M-DC-2017-G1-EPA-M-ISR-POR-01,201710203,Davis Cup G1 R1: ISR vs POR,,4,D,394,79573.43
2016-W-C25-AUS-02A-201625201610215Perth $25K,2016-W-C25-AUS-02A-2016,201610215,Perth $25K,Hard,32,25,2913,671687.56
2017-W-WITF-BUL-04A-201715201741002Sozopol $15K,2017-W-WITF-BUL-04A-2017,201741002,Sozopol $15K,Hard,32,15,3202,692949.94
2018-W-WITF-TUR-29A-201815201841008Antalya $15K,2018-W-WITF-TUR-29A-2018,201841008,Antalya $15K,Hard,32,15,3644,738088.48
2019-W-ITF-ESP-20A-201915201930916W15 Melilla,2019-W-ITF-ESP-20A-2019,201930916,W15 Melilla,Clay,32,15,3709,787896.95
2016-W-C25-USA-05A-201625201610222Rancho Santa Fe CA $25K,2016-W-C25-USA-05A-2016,201610222,Rancho Santa Fe CA $25K,Hard,32,25,3511,792018.83
2017-W-WITF-EGY-08A-201715201710306Sharm El Sheikh $15K,2017-W-WITF-EGY-08A-2017,201710306,Sharm El Sheikh $15K,Hard,32,15,3397,722206.39
2016-W-C10-EGY-02A-201610201610118Cairo $10K,2016-W-C10-EGY-02A-2016,201610118,Cairo $10K,Clay,32,10,1817,417325.2
2021-9538C202130719Pozoblanco CH,2021-9538,202130719,Pozoblanco CH,Hard,32,C,2244,405840.06
2021-W-ITF-EGY-18A-202115202120503W15 Cairo,2021-W-ITF-EGY-18A-2021,202120503,W15 Cairo,Clay,32,15,3639,667592.59
2019-W-ITF-KOR-05A-201915201920610W15 Gimcheon,2019-W-ITF-KOR-05A-2019,201920610,W15 Gimcheon,Hard,32,15,4484,995189.96
2018-W-FC-2018-G2-EPA-B-M-NOR-LUX-01D201820419Fed Cup G2 RR: NOR vs LUX,2018-W-FC-2018-G2-EPA-B-M-NOR-LUX-01,201820419,Fed Cup G2 RR: NOR vs LUX,Clay,2,D,179,35940.06
2020-W-FC-2020-G1-AM-B-M-ARG-CHI-01D202010206Fed Cup G1 RR: ARG vs CHI,2020-W-FC-2020-G1-AM-B-M-ARG-CHI-01,202010206,Fed Cup G1 RR: ARG vs CHI,Clay,2,D,210,41410.28
2017-M001A201710109Sydney,2017-M001,201710109,Sydney,Hard,32,A,4360,826195.71
2016-W-C10-GRE-12A-201610201641031Heraklion $10K,2016-W-C10-GRE-12A-2016,201641031,Heraklion $10K,Hard,32,10,2270,476207.73
2016-W-C10-FRA-03A-201610201610125Saint Martin Guadeloupe $10K,2016-W-C10-FRA-03A-2016,201610125,Saint Martin Guadeloupe $10K,Hard,32,10,3824,817342.98
2021-0425A202120419Barcelona,2021-0425,202120419,Barcelona,Clay,64,A,5700,1050864.78
2021-804P202120405Charleston 1,2021-804,202120405,Charleston 1,Clay,64,P,6793,1207099.48
2017-W-WITF-CHN-13A-201715201730703Anning $15K,2017-W-WITF-CHN-13A-2017,201730703,Anning $15K,Clay,32,15,3344,643062.64
2021-894I202120405Bogota,2021-894,202120405,Bogota,Clay,32,I,3037,574841.85
2019-0783C201930729Segovia CH,2019-0783,201930729,Segovia CH,Hard,64,C,5331,1031379.3
2020-W-ITF-THA-02A-202025202010203W25 Nonthaburi,2020-W-ITF-THA-02A-2020,202010203,W25 Nonthaburi,Hard,32,25,3637,991974.13
2017-W-FC-2017-G2-AM-D-M-PER-PAN-01D201730719Fed Cup G2 RR: PER vs PAN,2017-W-FC-2017-G2-AM-D-M-PER-PAN-01,201730719,Fed Cup G2 RR: PER vs PAN,,2,D,176,34296.5
2021-0319A202130726Kitzbuhel,2021-0319,202130726,Kitzbuhel,Clay,32,A,3704,812837.11
2016-W-C10-CHN-05A-201610201620613Anning $10K,2016-W-C10-CHN-05A-2016,201620613,Anning $10K,Clay,32,10,2665,503611.44
2020-0301A202010113Auckland,2020-0301,202010113,Auckland,Hard,32,A,3721,758138.44
2018-540G201830702Wimbledon,2018-540,201830702,Wimbledon,Grass,128,G,15979,3761778.69
2016-M014P201641017Moscow,2016-M014,201641017,Moscow,Hard,32,P,2574,533060.58
2018-W-WITF-USA-02A-201825201810115Orlando FL $25K,2018-W-WITF-USA-02A-2018,201810115,Orlando FL $25K,Clay,32,25,3301,613657.34
2018-W-WITF-JPN-14A-201815201830903Kyoto $15K,2018-W-WITF-JPN-14A-2018,201830903,Kyoto $15K,Hard,32,15,3933,1045203.95
2018-W-WITF-LUX-01A-201825201841029Petange $25K,2018-W-WITF-LUX-01A-2018,201841029,Petange $25K,Hard,32,25,2949,552543.51
2017-W-WITF-JPN-09B-201725201730828Nanao $25K,2017-W-WITF-JPN-09B-2017,201730828,Nanao $25K,Carpet,32,25,3582,876097.58
2016-W-C10-TUR-18A-201610201620502Antalya $10K,2016-W-C10-TUR-18A-2016,201620502,Antalya $10K,Hard,32,10,4294,611874.11
2018-0568A201830917St. Petersburg,2018-0568,201830917,St. Petersburg,Hard,32,A,3213,648250.1
2018-W-WITF-ITA-18A-201815201820625Tarvisio $15K,2018-W-WITF-ITA-18A-2018,201820625,Tarvisio $15K,Clay,32,15,4561,1117285.81
2019-W-ITF-RUS-07A-201915201930819W15 Moscow,2019-W-ITF-RUS-07A-2019,201930819,W15 Moscow,Clay,32,15,3176,734486.17
2019-W-ITF-FRA-16A-201980201941021W80 Poitiers,2019-W-ITF-FRA-16A-2019,201941021,W80 Poitiers,Hard,32,80,3131,589925.53
