workclass,education
Private,HS-grad
?,HS-grad
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,Some-college
Private,HS-grad
Private,Bachelors
?,1st-4th
Private,HS-grad
Self-emp-inc,Masters
Private,HS-grad
Self-emp-not-inc,Masters
Private,Some-college
Federal-gov,Assoc-acdm
State-gov,Masters
Private,11th
Local-gov,Assoc-voc
Private,HS-grad
State-gov,HS-grad
Private,Some-college
Private,Bachelors
State-gov,Bachelors
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Local-gov,Some-college
Private,Some-college
Private,Some-college
Private,7th-8th
Federal-gov,Some-college
Private,HS-grad
Self-emp-not-inc,Bachelors
?,Bachelors
Private,Masters
State-gov,Doctorate
Private,Some-college
Private,Some-college
Local-gov,Bachelors
Private,Some-college
Federal-gov,Bachelors
Private,5th-6th
Private,Some-college
Federal-gov,Masters
Private,Masters
Self-emp-not-inc,HS-grad
Private,Masters
?,HS-grad
Private,Bachelors
Local-gov,Some-college
State-gov,HS-grad
Private,11th
Private,Bachelors
Private,HS-grad
Self-emp-inc,HS-grad
Private,11th
Local-gov,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Self-emp-inc,7th-8th
Private,Bachelors
Private,Assoc-acdm
Private,Bachelors
Private,Bachelors
Private,10th
Private,Some-college
?,1st-4th
Private,HS-grad
Private,HS-grad
Local-gov,Preschool
Private,HS-grad
?,10th
Self-emp-not-inc,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,11th
Private,HS-grad
Private,Some-college
Private,Some-college
Private,Prof-school
State-gov,HS-grad
State-gov,Some-college
Private,Bachelors
Local-gov,Masters
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,HS-grad
State-gov,Assoc-acdm
?,Some-college
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Assoc-acdm
Private,HS-grad
Private,Prof-school
Private,Bachelors
Local-gov,10th
Local-gov,Some-college
Private,Some-college
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,7th-8th
Private,Bachelors
Private,HS-grad
Private,11th
Private,Some-college
Private,11th
Self-emp-inc,Some-college
?,Some-college
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,9th
Self-emp-not-inc,Masters
Local-gov,Masters
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Private,Some-college
Private,Some-college
Private,Bachelors
Local-gov,Some-college
Private,Assoc-acdm
Private,Bachelors
Private,HS-grad
Federal-gov,Masters
Private,Prof-school
Private,Some-college
Private,Bachelors
Private,7th-8th
Private,Bachelors
Private,HS-grad
Local-gov,Bachelors
Private,Some-college
Private,Bachelors
Private,HS-grad
Self-emp-inc,Bachelors
?,Masters
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Assoc-acdm
Private,Assoc-acdm
Private,Assoc-acdm
Self-emp-inc,Some-college
Private,Bachelors
Private,Masters
?,Some-college
Self-emp-not-inc,Bachelors
Private,Some-college
Private,Some-college
Self-emp-not-inc,Some-college
Private,5th-6th
Private,Some-college
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Some-college
Private,HS-grad
Private,11th
Self-emp-not-inc,Masters
Self-emp-not-inc,HS-grad
?,Assoc-voc
Private,Some-college
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,Assoc-voc
Local-gov,10th
Private,HS-grad
Private,5th-6th
Private,HS-grad
Private,Masters
Private,HS-grad
Private,HS-grad
Private,Assoc-acdm
Private,Assoc-voc
State-gov,HS-grad
Private,HS-grad
State-gov,Some-college
Self-emp-not-inc,Bachelors
?,11th
?,Assoc-voc
Private,Assoc-acdm
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,Bachelors
Local-gov,11th
?,Bachelors
Federal-gov,HS-grad
Private,11th
Private,Assoc-voc
Private,HS-grad
Self-emp-not-inc,9th
Private,10th
Private,Masters
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,Some-college
Private,Assoc-acdm
Private,Bachelors
Private,HS-grad
Federal-gov,Some-college
Private,11th
State-gov,Assoc-voc
Private,HS-grad
Private,HS-grad
Local-gov,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Masters
Private,HS-grad
Private,HS-grad
Private,5th-6th
Private,Some-college
Private,Some-college
Local-gov,Some-college
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,Assoc-acdm
State-gov,Bachelors
Private,HS-grad
Private,Some-college
Private,Some-college
?,HS-grad
Private,Bachelors
Self-emp-inc,Bachelors
Private,Some-college
Private,Some-college
State-gov,Bachelors
Private,Assoc-voc
Private,7th-8th
Private,Masters
Private,HS-grad
Self-emp-not-inc,HS-grad
?,Some-college
Private,Some-college
Local-gov,Some-college
Private,HS-grad
Private,Some-college
Private,Doctorate
State-gov,Some-college
Private,12th
Private,1st-4th
Private,11th
Local-gov,11th
State-gov,HS-grad
Private,Some-college
Private,11th
State-gov,Bachelors
Private,HS-grad
Private,10th
Private,HS-grad
Federal-gov,Masters
Private,HS-grad
Self-emp-inc,HS-grad
Local-gov,Masters
?,HS-grad
?,11th
Self-emp-not-inc,Bachelors
Private,Assoc-acdm
Private,Some-college
Private,Masters
Local-gov,HS-grad
Local-gov,Some-college
Private,Some-college
Local-gov,Some-college
Private,Bachelors
Private,HS-grad
Federal-gov,HS-grad
Private,Some-college
Private,9th
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
?,11th
Private,HS-grad
Self-emp-inc,Some-college
Private,HS-grad
Private,Assoc-acdm
Self-emp-not-inc,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,Some-college
Private,HS-grad
?,Some-college
Private,Assoc-acdm
Local-gov,HS-grad
Private,Bachelors
Private,1st-4th
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Masters
Private,Bachelors
Private,Some-college
?,Some-college
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,Bachelors
Private,9th
Private,Some-college
Private,10th
Private,HS-grad
Private,Assoc-acdm
Self-emp-not-inc,Some-college
State-gov,Bachelors
Private,HS-grad
?,12th
Private,Some-college
?,1st-4th
Local-gov,HS-grad
Local-gov,Bachelors
Private,Bachelors
Private,HS-grad
Federal-gov,HS-grad
Private,Assoc-acdm
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,5th-6th
Private,Some-college
?,HS-grad
Local-gov,HS-grad
Local-gov,HS-grad
Private,Some-college
Private,Some-college
Private,Bachelors
Private,Bachelors
Private,Some-college
Private,Some-college
Local-gov,HS-grad
Private,HS-grad
Private,Assoc-voc
?,5th-6th
Private,Assoc-voc
Private,Some-college
Private,HS-grad
?,Assoc-voc
Private,Some-college
?,Some-college
?,Some-college
Private,Bachelors
Self-emp-inc,Bachelors
Private,HS-grad
Local-gov,Some-college
Local-gov,Some-college
Private,Some-college
Private,Some-college
Private,Bachelors
Private,Some-college
Self-emp-not-inc,HS-grad
Self-emp-not-inc,Masters
Private,11th
Private,HS-grad
Private,HS-grad
Private,Assoc-acdm
Private,Prof-school
Local-gov,12th
Private,1st-4th
Private,Assoc-voc
Self-emp-inc,Bachelors
?,HS-grad
Private,Some-college
Private,Doctorate
Private,Some-college
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,10th
Local-gov,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Some-college
Self-emp-not-inc,HS-grad
Private,11th
Private,HS-grad
Federal-gov,Assoc-voc
Private,11th
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,11th
Private,Bachelors
Private,Bachelors
Private,Some-college
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,HS-grad
Self-emp-inc,Masters
Private,7th-8th
Self-emp-not-inc,HS-grad
Private,Masters
Private,HS-grad
Private,HS-grad
Private,11th
Private,Assoc-voc
Private,Doctorate
Private,Bachelors
?,12th
Self-emp-not-inc,Assoc-acdm
Local-gov,Bachelors
Self-emp-not-inc,Some-college
?,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,Some-college
Private,Some-college
Private,11th
Private,10th
Self-emp-inc,Bachelors
?,HS-grad
?,HS-grad
Private,7th-8th
Private,Bachelors
Private,Bachelors
Private,HS-grad
?,Some-college
Self-emp-not-inc,Prof-school
Private,Some-college
Private,Bachelors
Private,Bachelors
Private,Some-college
Private,7th-8th
Local-gov,9th
Self-emp-not-inc,Assoc-acdm
Private,HS-grad
Private,Masters
Private,HS-grad
Local-gov,HS-grad
Private,10th
Private,Masters
Private,HS-grad
Private,HS-grad
Local-gov,Bachelors
Private,Bachelors
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,HS-grad
Self-emp-inc,Bachelors
Private,Prof-school
Private,Bachelors
Private,11th
Private,9th
Private,Assoc-voc
Private,9th
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Some-college
Private,Bachelors
Self-emp-not-inc,Some-college
Local-gov,10th
Private,Some-college
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Bachelors
Private,Bachelors
Self-emp-inc,5th-6th
Self-emp-not-inc,Doctorate
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Private,Some-college
Self-emp-inc,Doctorate
Local-gov,HS-grad
Private,HS-grad
?,HS-grad
State-gov,Bachelors
Private,Some-college
Private,HS-grad
Private,Doctorate
State-gov,Some-college
Private,HS-grad
State-gov,Some-college
?,9th
Private,HS-grad
Private,7th-8th
Private,HS-grad
Self-emp-not-inc,12th
Private,Masters
Private,Some-college
Local-gov,Masters
Private,Some-college
Private,Assoc-acdm
State-gov,Some-college
Private,HS-grad
?,11th
Private,9th
Federal-gov,Some-college
?,11th
Self-emp-not-inc,11th
Private,Bachelors
Self-emp-inc,HS-grad
Private,HS-grad
Private,12th
Private,Some-college
Private,HS-grad
Self-emp-not-inc,HS-grad
Local-gov,HS-grad
Private,Assoc-voc
Self-emp-not-inc,HS-grad
Local-gov,Some-college
State-gov,11th
Private,HS-grad
?,7th-8th
Local-gov,Bachelors
Private,Masters
Private,HS-grad
Local-gov,Some-college
Private,Some-college
Private,Some-college
Private,Some-college
State-gov,Bachelors
?,Assoc-acdm
Private,Masters
Private,Masters
Private,Bachelors
Private,HS-grad
Local-gov,Bachelors
Private,Bachelors
Private,Some-college
Self-emp-not-inc,Some-college
Private,Doctorate
Private,Bachelors
Private,12th
Private,Some-college
Private,HS-grad
Private,11th
Private,Bachelors
Private,Some-college
Private,Bachelors
Private,Assoc-voc
Local-gov,Bachelors
Private,HS-grad
Private,HS-grad
State-gov,HS-grad
Private,Some-college
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,Bachelors
Local-gov,HS-grad
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,HS-grad
Self-emp-not-inc,11th
Private,Some-college
Private,Some-college
Private,Assoc-voc
Private,Assoc-voc
?,Some-college
Private,Some-college
Private,Some-college
State-gov,Bachelors
Private,HS-grad
Private,Bachelors
Private,Some-college
Self-emp-not-inc,HS-grad
Private,Masters
Private,Assoc-voc
Private,12th
Local-gov,Bachelors
Private,HS-grad
Private,Some-college
Private,11th
State-gov,Bachelors
State-gov,Bachelors
Private,Bachelors
Self-emp-not-inc,10th
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,HS-grad
Local-gov,Bachelors
Federal-gov,HS-grad
Private,HS-grad
Private,HS-grad
Local-gov,HS-grad
Local-gov,HS-grad
Self-emp-inc,Doctorate
Private,Bachelors
Private,10th
State-gov,Some-college
Private,Some-college
Self-emp-not-inc,Bachelors
Private,HS-grad
Private,Some-college
Private,5th-6th
Private,HS-grad
Private,Assoc-voc
Private,HS-grad
Local-gov,Assoc-voc
Private,Some-college
Private,Masters
Private,Bachelors
Private,Some-college
State-gov,Some-college
Private,Assoc-voc
Private,Assoc-voc
Self-emp-not-inc,Some-college
Private,Bachelors
Private,Some-college
Self-emp-not-inc,HS-grad
Private,12th
?,HS-grad
?,HS-grad
Private,Assoc-voc
Self-emp-inc,Bachelors
?,Some-college
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Masters
Private,Bachelors
Private,Assoc-acdm
Private,HS-grad
Self-emp-not-inc,11th
Private,HS-grad
Private,11th
Private,HS-grad
?,Masters
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,HS-grad
?,Some-college
Private,Some-college
Private,Some-college
Private,10th
Self-emp-not-inc,HS-grad
Private,Assoc-voc
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,Masters
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Self-emp-inc,Bachelors
?,11th
Private,Some-college
Private,Some-college
Self-emp-not-inc,HS-grad
?,11th
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,11th
Private,Some-college
Private,Some-college
Local-gov,Bachelors
Private,HS-grad
Private,Some-college
Local-gov,HS-grad
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,Masters
Private,Assoc-voc
Self-emp-not-inc,HS-grad
Private,Bachelors
State-gov,Doctorate
Private,HS-grad
Local-gov,HS-grad
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,11th
Private,HS-grad
Private,11th
Self-emp-inc,Some-college
Private,HS-grad
Private,Some-college
Private,10th
Private,11th
Private,Some-college
Self-emp-not-inc,Bachelors
Private,Bachelors
Private,Some-college
Self-emp-not-inc,Masters
Self-emp-not-inc,Bachelors
Private,5th-6th
Private,Bachelors
Private,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,9th
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,Some-college
?,Some-college
Private,Bachelors
Self-emp-inc,Some-college
Self-emp-not-inc,HS-grad
Private,Assoc-voc
?,Some-college
Self-emp-not-inc,Bachelors
Private,Assoc-voc
Private,Bachelors
Self-emp-not-inc,Prof-school
Private,Masters
Private,Some-college
Private,Bachelors
Private,Bachelors
Private,HS-grad
Local-gov,7th-8th
Self-emp-not-inc,9th
Private,HS-grad
?,Assoc-acdm
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,10th
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,Masters
Self-emp-inc,HS-grad
Self-emp-not-inc,HS-grad
Private,Some-college
Private,Some-college
Private,Some-college
Private,5th-6th
Private,Some-college
?,HS-grad
Private,HS-grad
Private,HS-grad
Private,Masters
Private,Some-college
Private,1st-4th
Private,HS-grad
?,Some-college
Local-gov,Preschool
Private,HS-grad
Private,11th
Private,HS-grad
Private,Masters
Private,Prof-school
Private,HS-grad
Private,Bachelors
Private,Assoc-acdm
Private,HS-grad
Self-emp-inc,HS-grad
Private,HS-grad
Private,HS-grad
Local-gov,Some-college
Private,Some-college
Self-emp-inc,Bachelors
Private,Some-college
Self-emp-not-inc,Some-college
State-gov,HS-grad
Private,Masters
Private,7th-8th
Private,HS-grad
Private,Some-college
Private,10th
Self-emp-inc,Some-college
Local-gov,10th
Self-emp-not-inc,Bachelors
Private,Assoc-acdm
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,10th
Private,HS-grad
Private,HS-grad
Self-emp-inc,Some-college
Self-emp-not-inc,HS-grad
Private,Bachelors
?,Assoc-voc
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
State-gov,Masters
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Assoc-acdm
?,HS-grad
Self-emp-not-inc,HS-grad
Local-gov,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,Assoc-voc
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Masters
Federal-gov,Bachelors
Private,Some-college
Self-emp-inc,Bachelors
Private,Some-college
Private,Doctorate
State-gov,HS-grad
Local-gov,Bachelors
Private,HS-grad
Private,Bachelors
Private,HS-grad
Self-emp-inc,HS-grad
Self-emp-not-inc,HS-grad
Private,Some-college
Private,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,Some-college
Private,Masters
Private,7th-8th
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
?,HS-grad
Private,Some-college
Local-gov,Masters
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,10th
Self-emp-inc,Masters
Private,Assoc-voc
State-gov,Assoc-acdm
Private,Some-college
Private,HS-grad
?,7th-8th
?,HS-grad
Self-emp-inc,9th
Private,HS-grad
Private,HS-grad
?,11th
Private,HS-grad
Private,Some-college
Private,Some-college
Private,Bachelors
Private,Some-college
Private,Prof-school
?,Assoc-acdm
Private,Some-college
Private,Some-college
Private,Bachelors
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,Bachelors
Self-emp-not-inc,Some-college
Private,Some-college
Private,Bachelors
Self-emp-not-inc,12th
Private,Assoc-voc
Local-gov,Masters
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,HS-grad
Private,Assoc-acdm
Private,Some-college
Private,Some-college
Private,Prof-school
Private,12th
Private,Bachelors
Private,Assoc-acdm
Local-gov,Bachelors
Private,HS-grad
Private,HS-grad
State-gov,Doctorate
Private,11th
Self-emp-not-inc,Some-college
Private,Bachelors
Private,Bachelors
Private,HS-grad
State-gov,Assoc-voc
Private,Bachelors
Local-gov,HS-grad
Self-emp-not-inc,HS-grad
Local-gov,Some-college
Private,Some-college
Private,Assoc-voc
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,HS-grad
Federal-gov,Assoc-acdm
Self-emp-not-inc,Bachelors
Private,Doctorate
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Bachelors
Private,10th
?,HS-grad
Self-emp-inc,HS-grad
Private,Some-college
?,7th-8th
Self-emp-inc,Bachelors
Self-emp-inc,9th
Private,Bachelors
Self-emp-not-inc,Assoc-acdm
Local-gov,HS-grad
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,Assoc-voc
Self-emp-inc,Masters
Private,Bachelors
State-gov,Bachelors
Private,HS-grad
Private,HS-grad
Self-emp-inc,Assoc-voc
Private,Some-college
Private,HS-grad
Local-gov,Bachelors
Private,Bachelors
Private,Some-college
Federal-gov,HS-grad
State-gov,Some-college
Private,Bachelors
Private,Some-college
Private,Assoc-voc
Private,HS-grad
Federal-gov,HS-grad
Self-emp-not-inc,Some-college
Private,Bachelors
Private,Some-college
?,HS-grad
Private,HS-grad
Private,Assoc-voc
?,Some-college
Private,Some-college
Self-emp-not-inc,Masters
Federal-gov,HS-grad
Private,HS-grad
Private,1st-4th
Private,Some-college
Private,Some-college
Federal-gov,HS-grad
Private,Bachelors
Self-emp-not-inc,Some-college
Private,Masters
Self-emp-inc,Some-college
Private,HS-grad
Self-emp-inc,HS-grad
Self-emp-inc,HS-grad
Private,HS-grad
Private,Some-college
?,Some-college
Private,HS-grad
State-gov,HS-grad
Private,Some-college
Private,HS-grad
State-gov,Masters
Private,Bachelors
Private,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,Bachelors
Private,Assoc-acdm
Private,Bachelors
Private,HS-grad
Private,Bachelors
?,Some-college
Self-emp-not-inc,Prof-school
Private,HS-grad
Private,HS-grad
Private,11th
Private,Masters
Private,Assoc-voc
Private,HS-grad
?,Some-college
Private,Assoc-voc
State-gov,HS-grad
Private,HS-grad
Local-gov,11th
?,HS-grad
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,HS-grad
?,Masters
Federal-gov,Some-college
Private,HS-grad
State-gov,Bachelors
Local-gov,Bachelors
Private,Assoc-voc
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,Some-college
Local-gov,Bachelors
Local-gov,Assoc-acdm
Private,Masters
Private,HS-grad
Private,HS-grad
Federal-gov,HS-grad
Local-gov,Bachelors
Private,Bachelors
Private,Bachelors
Private,Some-college
Self-emp-inc,Masters
Local-gov,HS-grad
Private,Bachelors
?,Some-college
Private,HS-grad
Self-emp-inc,Some-college
Private,Some-college
Private,Some-college
Private,Doctorate
Private,Some-college
?,Bachelors
Self-emp-not-inc,Some-college
?,HS-grad
Private,Bachelors
Private,Prof-school
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Masters
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,Some-college
Private,HS-grad
Self-emp-not-inc,Prof-school
Private,Bachelors
Federal-gov,HS-grad
Private,Bachelors
Private,HS-grad
Private,11th
Private,Some-college
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Some-college
Private,Masters
Private,HS-grad
State-gov,HS-grad
Self-emp-not-inc,HS-grad
Local-gov,Some-college
Private,Some-college
Self-emp-inc,Prof-school
Private,HS-grad
Private,HS-grad
Private,HS-grad
Self-emp-inc,Masters
Self-emp-not-inc,Some-college
Private,HS-grad
Federal-gov,HS-grad
Self-emp-not-inc,Some-college
Private,HS-grad
Private,Bachelors
Private,HS-grad
Federal-gov,Bachelors
State-gov,Some-college
Private,HS-grad
Private,HS-grad
?,Assoc-voc
Private,HS-grad
Self-emp-inc,Some-college
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,Some-college
Private,Some-college
Local-gov,Bachelors
Private,Bachelors
Private,Some-college
Private,Assoc-acdm
Private,HS-grad
Private,Some-college
Local-gov,Bachelors
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,HS-grad
Federal-gov,Assoc-acdm
?,HS-grad
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Bachelors
Private,10th
Private,Bachelors
Private,HS-grad
?,12th
Self-emp-not-inc,1st-4th
Private,HS-grad
Private,Masters
Private,HS-grad
Private,5th-6th
Private,Some-college
Private,Assoc-acdm
Local-gov,Some-college
Private,HS-grad
Federal-gov,Some-college
Private,HS-grad
Self-emp-inc,Some-college
Self-emp-not-inc,Prof-school
Private,Assoc-voc
Private,Bachelors
Private,Assoc-voc
Private,5th-6th
Private,HS-grad
Private,HS-grad
Federal-gov,Bachelors
Private,Bachelors
?,Some-college
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Doctorate
?,Assoc-acdm
State-gov,Bachelors
Private,Bachelors
Local-gov,HS-grad
Private,Some-college
Private,HS-grad
Private,Some-college
Private,HS-grad
?,10th
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,11th
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Prof-school
Private,Assoc-voc
Private,Some-college
Private,Bachelors
Private,HS-grad
Private,Bachelors
State-gov,Some-college
State-gov,Prof-school
Private,Masters
Private,Some-college
State-gov,HS-grad
Private,HS-grad
Private,Bachelors
Self-emp-inc,Bachelors
?,11th
Private,Bachelors
?,7th-8th
Private,Some-college
Self-emp-inc,Bachelors
Private,HS-grad
Private,Some-college
Private,5th-6th
Self-emp-not-inc,HS-grad
Private,10th
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Federal-gov,Assoc-voc
Self-emp-inc,HS-grad
Private,HS-grad
Federal-gov,Some-college
Private,HS-grad
Private,10th
Private,Assoc-acdm
?,HS-grad
Private,Masters
Self-emp-inc,Bachelors
Local-gov,Assoc-voc
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Masters
Private,Bachelors
Private,Some-college
Private,Bachelors
Local-gov,Bachelors
Private,Some-college
Self-emp-not-inc,HS-grad
Private,Some-college
Private,HS-grad
Self-emp-not-inc,Some-college
?,Some-college
Private,11th
Private,Bachelors
Local-gov,7th-8th
Private,HS-grad
Federal-gov,HS-grad
Private,10th
Private,10th
Private,HS-grad
Self-emp-not-inc,Masters
Private,10th
Private,HS-grad
Private,HS-grad
Private,Assoc-acdm
Private,HS-grad
Private,HS-grad
?,HS-grad
Private,HS-grad
Private,11th
Local-gov,Assoc-acdm
Private,HS-grad
Private,HS-grad
Private,HS-grad
Self-emp-inc,HS-grad
Private,Bachelors
Private,Some-college
Self-emp-not-inc,10th
State-gov,Some-college
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,Some-college
?,Some-college
Private,Assoc-voc
Private,Assoc-acdm
Private,11th
Federal-gov,HS-grad
Private,11th
